"","root_barrier","avg_height","avg_diameter","med_height","med_diameter","min_height","max_height","min_diameter","max_diameter","var_height","var_diameter"
"1","N",2.71518678840343,11.9624184642243,2,10,0,10,0,435,2.3855897069487,86.32145341367
"2","Y",1.30253385757973,4.40038007863696,1,3,0,9,0.5,86,0.438446883069778,8.98880820069142
